id,prompt,answer,unit,source,confidence,published_date,published_slot
"q1","How many words are in all seven Harry Potter books combined?","1084170","words","Bloomsbury / Scholastic page counts",,,
"q2","How many burgers does McDonald's sell worldwide each day?","75000000","burgers","McDonald's annual report · industry estimates",,,
"q3","How many photos are uploaded to Instagram every minute?","66000","photos","Meta investor data · Domo Data Never Sleeps",,,
"q4","How many golf balls fit inside a Volkswagen Golf?","56000","golf balls","Volkswagen interior and cargo specs · USGA ball spec",,"2026-07-31","1"
"q5","How many piano tuners work in New York City?","130","tuners","Fermi's classic estimation problem",,"2026-07-27","1"
"q6","How many heartbeats are there in the average lifetime of a Timbuktu resident?","2300000000","heartbeats","World Bank life expectancy, Mali (60.4 years) · typical adult resting heart rate","medium","2026-08-15","3"
"q7","How many piano keys would it take to stretch across a football field?","4940","keys","NFL field spec · standard piano key width",,,
"q8","How many slices of pizza are eaten in the U.S. every day?","100000000","slices","PMQ Pizza industry data",,,
"q9","How many balloons would it take to lift an average adult?","5700","balloons","Helium density · CDC adult body weight",,,
"q11","How many tennis balls could fit in a school bus?","164000","tennis balls","ITF ball spec · Type C bus dimensions",,,
"q12","How many songs would you hear if you played music nonstop for a year?","150000","songs","Spotify avg track length",,,
"q13","How many people are in the air on airplanes at any given moment?","1150000","people","Flightradar24 · IATA load factors",,"2026-08-02","3"
"q14","How many Oreos would it take to cover a queen-size bed?","1820","Oreos","Mattress spec · Oreo diameter (1.75 in)",,"2026-08-16","1"
"q15","How many tennis rackets would it take to cover a tennis court?","1360","rackets","International Tennis Federation",,"2026-08-10","3"
"q16","How many decks of playing cards would it take to cover a basketball court?","1490","decks","NBA court spec · poker card dimensions",,,
"q18","How long does Google Maps say it takes to walk nonstop from NYC to LA?","925","hours","Google Maps walking directions",,"2026-07-27","3"
"q19","What would it cost to fill an Olympic swimming pool with 2% milk?","2300000","dollars","FINA pool spec · BLS dairy retail price",,,
"q20","How tall would a stack of 1 million $1 bills be?","358","feet","U.S. Bureau of Engraving & Printing",,"2026-08-02","1"
"q21","What is the total length of spaghetti in a 16 oz (450 g) box?","470","feet","Barilla packaging spec",,"2026-07-29","1"
"q22","How long would it take to watch every episode of The Simpsons?","296","hours","Wikisimpsons list of episodes",,"2026-08-07","3"
"q23","How far does the average person scroll on their phone in a year?","25","miles","Mary Meeker mobile usage estimates",,,
"q24","How long would a roll of toilet paper be if fully unrolled?","150","feet","Charmin / Cottonelle standard roll spec",,,
"q26","How far does a shopping cart travel in one year at a busy grocery store?","5500","miles","Grocery operations averages",,,
"q27","How long would it take to listen to every Beatles song?","620","minutes","2009 Beatles stereo remaster box set official runtime",,"2026-07-28","1"
"q28","How many M&M's would it take to fill a basketball?","7700","M&Ms","Spalding ball spec · Mars confectionery dimensions",,"2026-08-17","1"
"q29","How many Monopoly boards would it take to cover a football field?","21000","boards","NFL field spec · Hasbro game dimensions",,,
"q30","How many Hot Wheels cars would it take to stretch across the Golden Gate Bridge?","36000","cars","GGNRA · Mattel 1:64 scale spec",,,
"q32","How many times does the average person unlock their phone in a year?","29000","unlocks","Apple Screen Time · Asurion mobile usage study",,,
"q33","How many words are in the entire Lord of the Rings trilogy?","481000","words","HarperCollins published word counts",,,
"q34","How many minutes of music has Taylor Swift officially released?","1000","minutes","Spotify · Apple Music catalog totals",,,
"q35","How many times is the word ""baby"" sung in Justin Bieber's ""Baby""?","56","times","Genius lyrics annotation",,,
"q36","How many TikToks are uploaded every minute?","23000","videos","Domo Data Never Sleeps · TikTok creator stats",,,
"q37","How many Spotify streams happen worldwide every second?","175000","streams","Spotify investor data",,,
"q38","How many Google searches happen every second?","99000","searches","Internet Live Stats · Statista",,,
"q39","How many emails are sent worldwide every second?","4000000","emails","Radicati Group email statistics report",,,
"q40","You drop a cannonball off a boat over the Mariana Trench. How long does it take to reach the bottom?","2500","seconds","NOAA Challenger Deep · drag-equation estimate",,,
"q41","How many new vehicles are sold in the U.S. each year?","16000000","vehicles","Bureau of Economic Analysis · Cox Automotive",,,
"q42","How many dimples are on a regulation golf ball?","336","dimples","USGA equipment rules · Titleist/Callaway specs",,"2026-07-30","2"
"q43","How many planes make up United Airlines' mainline fleet?","1000","planes","United Airlines 10-K · Planespotters fleet data",,,
"q44","How tall is the 22nd tallest building in the world?","1483","feet","CTBUH Skyscraper Database",,"2026-08-01","1"
"q45","How many different sets of 5 can you choose from a group of 50?","2118760","combinations","Combinatorics: n choose k formula",,,
"q46","How many registered vehicles are on the island of Iceland?","290000","vehicles","Icelandic Transport Authority (Samgöngustofa)",,"2026-07-29","3"
"q47","If we brewed coffee in Olympic swimming pools, how many pools would the U.S. drink in a day?","40","pools","National Coffee Association · FINA pool spec",,"2026-07-30","1"
"q48","How many stone blocks were used to build the Great Pyramid of Giza?","2300000","blocks","Harvard Giza Project",,"2026-08-09","3"
"q49","How many bird species are found in North America?","1154","species","State of North America's Birds 2016 · Cornell Lab / ABC / Birds Canada / CEC",,"2026-08-01","3"
"q50","If converted to gold, how much would the U.S. national debt weigh?","365000","metric tons","U.S. Treasury · LBMA gold fix",,,
